Champion,Position,Ban Pick Rate,Win Rate,KDA,Gold,CSPM,DPM
Aatrox,Top,0.33,0.83,7,0.23,8.1,500
Ahri,Middle,0.03,0.5,4.5,0.26,9.3,484
Akali,Middle,0.08,1,3.3,0.17,7,387
Alistar,Support,0.67,0.37,2.2,0.08,1,153
Aphelios,ADC,0.17,0.4,3.5,0.28,9.6,474
Ashe,ADC,0.11,0.67,3.7,0.23,8.7,492
Azir,Middle,0.56,0.56,3.2,0.25,9.3,488
Bard,Support,0.01,0,1,0.08,1.3,223
Blitzcrank,Support,0.07,1,3,0.08,0.9,103
Braum,Support,0.08,0.25,3.3,0.09,1.1,202
Caitlyn,ADC,0.16,0.2,3.7,0.28,9.5,561
Camille,Top,0.48,0.33,1.7,0.23,7.8,402
Cho'Gath,Top,0.05,1,4,0.19,6.9,363
Corki,Middle,0.09,0.25,2.2,0.28,9.7,608
Dr. Mundo,Jungle,0.03,0,1.6,0.21,6,302
Ekko,Jungle,0.08,0,2.5,0.21,6.6,248
Ekko,Middle,0.08,1,5.9,0.21,8.5,486
Evelynn,Jungle,0.01,0,1.8,0.19,5.5,442
Ezreal,ADC,0.09,0.33,2.9,0.25,8.9,626
Fiora,Top,0.01,1,4,0.25,8.3,513
Galio,Middle,0.13,0,1.3,0.17,6.6,489
Galio,Support,0.13,0.33,2.2,0.09,1.3,173
Gangplank,Top,0.2,0.75,3.9,0.26,8.9,628
Gnar,Top,0.44,0.33,3,0.22,8,469
Gragas,Jungle,0.63,0,0.7,0.16,5.7,253
Gragas,Support,0.63,0.25,1.8,0.1,2.2,231
Gragas,Top,0.63,0.48,3.7,0.19,6.9,381
Graves,Jungle,0.44,0.5,3.9,0.23,7.2,407
Hecarim,Jungle,0.29,0.44,3.2,0.18,5.7,256
Irelia,Middle,0.04,0,2.2,0.24,8,480
Irelia,Top,0.04,0.5,3.4,0.22,8.8,322
Ivern,Jungle,0.04,1,9,0.15,5.7,76
Ivern,Top,0.04,0.5,3,0.18,6.5,281
Jarvan IV,Jungle,0.15,0.57,3.2,0.16,4.9,189
Jarvan IV,Support,0.15,0.67,2.2,0.1,0.7,231
Jax,Top,0.05,0,0.8,0.24,7.8,404
Jayce,Middle,0.16,0,3,0.24,9.6,417
Jayce,Top,0.16,0.75,7,0.24,8.9,693
Jhin,ADC,0.24,0.67,7.7,0.26,9.5,501
Jinx,ADC,0.01,0,3.5,0.32,10.8,463
Kai'Sa,ADC,0.87,0.49,4.1,0.27,9.5,473
Kalista,ADC,0.43,0.5,3,0.26,8.9,342
Karma,Support,0.03,1,10,0.11,0.8,282
Karma,Top,0.03,1,9,0.19,7,643
Kayn,Jungle,0.03,1,5.7,0.25,7.6,561
Kennen,Top,0.05,0.67,2.7,0.19,7.4,345
Kindred,Jungle,0.01,0,0.8,0.25,6.3,324
Kled,Top,0.01,0,3,0.19,8.4,304
LeBlanc,Middle,0.05,0,3.3,0.23,7.8,550
Leona,Support,0.35,0.42,2.2,0.09,1.2,131
Lillia,Jungle,0.71,0.42,3,0.19,6.2,340
Lucian,Middle,0.36,0.58,3.9,0.26,9.7,497
Lulu,Support,0.04,0,1.2,0.1,0.7,244
Lulu,Top,0.04,1,6,0.15,5.4,266
Lux,Support,0.04,1,2.8,0.09,0.7,207
Malphite,Top,0.07,0,6,0.23,7.1,419
Miss Fortune,ADC,0.12,0,2.8,0.26,9.2,407
Morgana,Support,0.05,0,1.7,0.09,0.5,171
Nautilus,Support,0.17,0.5,2,0.09,1,156
Nidalee,Jungle,0.24,0.57,4.1,0.19,6.4,362
Olaf,Jungle,0.65,0.59,3.7,0.19,6,421
Orianna,Middle,0.48,0.5,4.3,0.24,9.1,481
Ornn,Top,0.07,0.6,2.8,0.19,7.3,317
Pantheon,Jungle,0.47,0.5,3.7,0.19,5.9,373
Pantheon,Top,0.47,0.5,3.6,0.2,7,554
Quinn,Top,0.03,1,3.8,0.24,9,772
Rakan,Support,0.21,0.56,3.5,0.09,1.2,149
Rell,Support,0.73,0.7,3.1,0.09,1.1,148
Renekton,Top,0.79,0.46,2.7,0.22,8.2,351
