"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",9,"56%","67%",20,14,48,4.9,"68.0%","20.0%","13.6%","33%",-75,-223,-1.2,9.3,"27.6%",426,"26.0%",275,"24.5%",0.49,0.21
"Armut","MAD Lions","Top",9,"56%","78%",38,25,37,3,"62.5%","31.7%","18.9%","11%",-6,91,3.2,7.8,"23.2%",465,"24.0%",269,"22.9%",0.51,0.19
"Blue","SK Gaming","Middle",9,"44%","67%",18,21,44,3,"65.3%","18.9%","21.2%","33%",79,154,-1.2,9.2,"29.2%",403,"25.4%",277,"25.9%",0.33,0.19
"Broken Blade","FC Schalke 04 Esports","Top",9,"56%","44%",15,21,40,2.6,"55.0%","15.0%","20.4%","11%",98,-7,1.2,8.2,"24.4%",413,"24.3%",258,"22.7%",0.44,0.14
"Bwipo","Fnatic","Top",9,"67%","56%",44,29,65,3.8,"61.9%","25.0%","21.5%","22%",35,88,-6.1,7.6,"25.5%",505,"24.4%",275,"21.8%",0.51,0.15
"Caps","G2 Esports","Middle",9,"78%","56%",33,20,69,5.1,"61.1%","19.8%","16.8%","0%",89,244,1.7,8.6,"24.7%",561,"24.7%",287,"23.1%",0.38,0.15
"Carzzy","MAD Lions","ADC",9,"56%","67%",24,30,56,2.7,"66.7%","20.0%","22.7%","33%",-11,-34,-2.3,8.5,"28.3%",418,"21.7%",265,"23.3%",0.42,0.31
"Comp","Team Vitality","ADC",7,"14%","57%",14,20,21,1.8,"58.3%","23.3%","22.2%","29%",53,133,5.7,9.6,"31.9%",369,"22.8%",285,"28.0%",0.45,0.3
"Crownshot","Team Vitality","ADC",2,"0%","50%",7,6,4,1.8,"73.3%","46.7%","27.3%","50%",377,-1,9.5,9.7,"33.7%",384,"20.3%",299,"31.0%",0.69,0.49
"Czekolad","Excel Esports","Middle",9,"56%","44%",15,22,52,3,"66.3%","14.9%","18.8%","0%",-76,-98,-1.2,8.6,"27.1%",464,"26.6%",252,"23.5%",0.47,0.17
"Dan","Excel Esports","Jungle",9,"56%","44%",21,25,48,2.8,"68.3%","20.8%","21.4%","11%",-8,-13,2.8,5.8,"15.5%",249,"13.5%",198,"18.6%",0.33,0.33
"Elyoya","MAD Lions","Jungle",9,"56%","67%",31,20,58,4.5,"74.2%","25.8%","15.2%","22%",96,128,2.8,6.3,"18.8%",341,"17.5%",237,"20.8%",0.4,0.34
"Gilius","FC Schalke 04 Esports","Jungle",9,"56%","44%",12,25,60,2.9,"72.0%","12.0%","24.3%","56%",-25,-88,-2,5.6,"15.0%",249,"15.5%",187,"16.5%",0.58,0.42
"Hans sama","Rogue","ADC",9,"78%","33%",59,16,50,6.8,"79.6%","43.1%","18.8%","56%",259,59,1.7,9.8,"30.3%",490,"26.3%",352,"28.5%",0.62,0.32
"HiRit","Misfits Gaming","Top",9,"33%","22%",19,27,49,2.5,"52.7%","14.7%","20.9%","44%",67,87,0.9,7.7,"23.4%",467,"24.1%",239,"21.2%",0.31,0.2
"Humanoid","MAD Lions","Middle",9,"56%","33%",20,31,62,2.6,"68.3%","16.7%","23.5%","22%",250,105,6.9,9,"26.6%",517,"27.4%",278,"24.1%",0.39,0.21
"Hylissang","Fnatic","Support",9,"67%","22%",6,43,95,2.3,"57.4%","3.4%","31.9%","33%",193,235,1,1.2,"3.7%",181,"8.5%",117,"9.3%",1.43,0.44
"Inspired","Rogue","Jungle",9,"78%","44%",24,15,61,5.7,"62.0%","17.5%","17.6%","44%",-47,-84,-1.3,6.1,"16.5%",281,"15.5%",213,"17.5%",0.41,0.35
"Jankos","G2 Esports","Jungle",9,"78%","33%",46,21,53,4.7,"59.3%","27.5%","17.6%","11%",-151,22,-2.1,6.8,"20.2%",461,"19.6%",252,"20.2%",0.44,0.41
"Jenax","SK Gaming","Top",9,"44%","33%",15,21,41,2.7,"58.9%","15.8%","21.2%","11%",-19,-14,4.2,7.7,"21.7%",355,"22.1%",221,"20.4%",0.41,0.15
"Jeskla","Astralis","ADC",9,"22%","78%",23,27,25,1.8,"60.0%","28.8%","18.0%","11%",-255,-377,-7.2,9.1,"32.7%",426,"26.3%",271,"27.4%",0.52,0.26
"Jezu","SK Gaming","ADC",9,"44%","67%",36,18,38,4.1,"77.9%","37.9%","18.2%","33%",-156,-294,-10.6,8.5,"28.3%",415,"26.5%",261,"24.4%",0.41,0.2
"Kaiser","MAD Lions","Support",9,"56%","33%",7,26,78,3.3,"70.8%","5.8%","19.7%","22%",-53,45,0.7,1.2,"3.1%",169,"9.4%",104,"8.8%",1.74,0.35
"Kobbe","Misfits Gaming","ADC",9,"33%","44%",31,17,44,4.4,"58.1%","24.0%","13.2%","33%",75,78,9.2,9.1,"29.6%",442,"23.1%",290,"25.9%",0.39,0.26
